cleaned_negative,polarity_negative,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
,0.0,positive,10.0,Bulgaria,Double Room,Couple,9,2022
disappoint didnt balconi,0.0,positive,8.0,Cyprus,Double Room,Couple,10,2022
,0.0,positive,10.0,Jordan,Double Room with Balcony,Solo traveler,10,2022
we’d love stay longer,0.5,positive,10.0,Belarus,Double Room with Balcony,Solo traveler,10,2022
noth,0.0,positive,10.0,United Kingdom,Standard Triple Room,Family,10,2022
good,0.7,positive,10.0,United Arab Emirates,Double Room with Balcony,Family,10,2022
,0.0,positive,9.0,Netherlands,Budget Twin Room,Couple,9,2022
hour recept easi access entri odd hour,-0.16666666666666666,positive,8.0,United Kingdom,Two-Bedroom Suite,Group,9,2022
,0.0,positive,10.0,United States of America,Double Room with Balcony,Couple,9,2022
locat littl bit far centr,0.1,positive,9.0,Armenia,Double Room,Couple,9,2022
thing pool howev plenti chair sot outsid garden also spotlessli clean everywher,0.3666666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
room wasnt clean check finish clean complaint,0.14444444444444446,positive,8.0,Slovakia,Double Room with Balcony,Family,8,2022
love littl hotel friendli staff breakfast excel,0.5,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,9,2022
noth perfect stay,1.0,positive,9.6,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
na,0.0,positive,10.0,United Kingdom,Budget Twin Room,Family,9,2022
park alway easi,0.0,positive,10.0,United Kingdom,Budget Twin Room,Couple,9,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2022
bit badli soundproof,0.0,positive,8.0,Germany,Budget Twin Room,Couple,9,2022
locat place wait posit next flight larnaka airport beach stay,0.0,positive,8.0,France,Double Room with Balcony,Family,9,2022
,0.0,positive,10.0,Russia,Double Room with Balcony,Solo traveler,6,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
towel dirti,0.0,positive,9.0,Israel,Double Room with Balcony,Couple,9,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
,0.0,positive,9.0,Czech Republic,Budget Twin Room,Solo traveler,9,2022
,0.0,positive,8.0,Italy,Double Room with Balcony,Couple,9,2022
,0.0,positive,10.0,Bulgaria,Double Room with Balcony,Couple,9,2022
cupboardswardrob need door drawer room keep room tidi,0.0,positive,9.0,United Kingdom,Double Room,Group,8,2022
noth,0.0,positive,10.0,Lebanon,Double Room,Couple,9,2022
soap shampoo shower hand soap instead,0.0,positive,8.0,Italy,Suite with Balcony,Group,8,2022
,0.0,positive,10.0,Ukraine,Double Room with Balcony,Family,9,2022
like everyth properti,0.0,positive,10.0,Serbia,Double Room,Couple,9,2022
hotel staff learn better english confus term fridg freezer fatal person diabet team froze insulin mean unus luckili flew home next day happen holiday weve got entertain cover,0.046875,positive,9.0,Czech Republic,Two-Bedroom Suite,Family,9,2022
noth,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
noth,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,9,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2022
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,9,2022
noth,0.0,positive,8.0,Cyprus,Double Room,Couple,9,2022
nice restaur good food servic,0.6499999999999999,positive,9.0,United Kingdom,Double Room,Couple,8,2022
,0.0,positive,10.0,Serbia,Double Room,Family,8,2022
complaint,-0.3,positive,9.0,United Kingdom,Two-Bedroom Suite,Family,9,2022
,0.0,positive,10.0,Serbia,Double Room,Solo traveler,9,2022
,0.0,positive,10.0,Austria,Standard Triple Room,Family,8,2022
,0.0,positive,8.0,Austria,Double Room,Couple,8,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Couple,8,2022
like everyth,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,7,2022
room small adequ,-0.25,positive,9.0,United States of America,Budget Twin Room,Group,8,2022
hair shampoo gener basic amen,0.0,positive,8.0,Cyprus,Double Room with Balcony,Couple,8,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
area littl noisi stay,0.0,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
,0.0,positive,10.0,Lebanon,Double Room with Balcony,Couple,8,2022
taxi driver cooper hotel time airport back charg eur price agre hotel eur clarifi money would certainli give money tip feel someon cheat still money realli awkward ugli especi alon small child middl night altern way transport,-0.2833333333333333,positive,10.0,Serbia,Double Room with Balcony,Family,8,2022
bit loud outsid normal summertim guess,0.125,positive,9.0,Belgium,Double Room with Balcony,Solo traveler,8,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Group,8,2022
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,8,2022
,0.0,positive,10.0,Cyprus,Double Room,Couple,8,2022
,0.0,positive,9.0,Cyprus,Double Room with Balcony,Solo traveler,8,2022
locat hotel bit far citi centr take bu arriv fairli often station near hotel,0.1,positive,9.0,Romania,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,Netherlands,Double Room with Balcony,Solo traveler,8,2022
swim pool,0.0,positive,9.0,Israel,Two-Bedroom Suite,Family,8,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,8,2022
,0.0,positive,10.0,Israel,Family Suite with Balcony,Family,8,2022
smell bathroom,0.0,positive,9.0,Romania,Double Room,Couple,8,2022
,0.0,positive,10.0,Poland,Double Room,Solo traveler,8,2022
slow elev,-0.30000000000000004,positive,8.0,Cyprus,Two-Bedroom Suite,Solo traveler,8,2022
,0.0,positive,10.0,Russia,Double Room,Family,8,2022
noth like fabul place,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,8,2022
noth,0.0,positive,9.0,France,Standard Triple Room,Group,8,2022
,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,8,2022
,0.0,positive,9.0,Israel,Suite with Balcony,Family,8,2022
everyth perfect,1.0,positive,10.0,Romania,Double Room with Balcony,Couple,8,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
,0.0,positive,10.0,United States of America,Standard Triple Room,Family,5,2022
noth,0.0,positive,10.0,Venezuela,Standard Triple Room,Family,6,2022
noth hotel quick path beachsid cafe bit treacher,0.3333333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2022
kiosk open hour close hotel,0.0,positive,10.0,Israel,Double Room,Couple,8,2022
,0.0,positive,10.0,United Kingdom,Standard Triple Room,Family,7,2022
late check one hotel give u key door lock ask taxi driver make call cypru number,-0.15,positive,9.0,Israel,Double Room,Group,7,2022
noth,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,7,2022
would like tv channel like rt russia today,0.0,positive,8.0,Spain,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Spain,Double Room with Balcony,Family,7,2022
,0.0,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Slovenia,Standard Triple Room,Family,7,2022
,0.0,positive,10.0,Australia,Double Room,Solo traveler,7,2022
,0.0,positive,9.0,Sweden,Double Room,Couple,7,2022
like everyth,0.0,positive,10.0,New Zealand,Double Room with Balcony,Solo traveler,7,2022
noth,0.0,positive,10.0,Cyprus,Double Room with Balcony,Couple,7,2022
,0.0,positive,9.0,Germany,Double Room,Solo traveler,6,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,Kuwait,Two-Bedroom Suite,Family,7,2022
note,0.0,positive,10.0,Cyprus,Two-Bedroom Suite,Group,7,2022
perfect,1.0,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Lebanon,Two-Bedroom Suite,Family,7,2022
like everyth,0.0,positive,10.0,United States of America,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,Israel,Double Room,Solo traveler,7,2022
wasnt big issu came hotel doesnt park lot sometim might difficult find park spot,-0.25,positive,9.0,Czech Republic,Double Room,Couple,7,2022
,0.0,positive,10.0,Germany,Double Room with Balcony,Solo traveler,7,2022
clean bed linen soo comfi everyth smell good,0.5333333333333333,positive,10.0,United States of America,Double Room with Balcony,Solo traveler,7,2022
good,0.7,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Group,7,2022
,0.0,positive,8.0,Cyprus,Double Room with Balcony,Couple,7,2022
noth complain,0.0,positive,8.0,Sweden,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,7,2022
better tv channel select would good even,0.6,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
ac bit loud peopl next hotel also loud heard room,0.06666666666666667,positive,8.0,Cyprus,Double Room,Couple,7,2022
,0.0,positive,10.0,Cyprus,Suite with Balcony,Group,7,2022
,0.0,positive,10.0,Lithuania,Double Room with Balcony,Group,7,2022
,0.0,positive,9.0,Germany,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,9.0,Romania,Standard Triple Room,Family,7,2022
noth hotel terrif locat near airport look need access car use hotel base,-0.35000000000000003,positive,10.0,United States of America,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,9.0,United States of America,Budget Twin Room,Solo traveler,7,2022
,0.0,positive,10.0,United States of America,Double Room,Group,7,2022
,0.0,positive,10.0,United Kingdom,Double Room,Family,7,2022
,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,7,2022
room rather small lack balconi make lot differ one previou stay,-0.25,positive,8.0,Cyprus,Double Room,Couple,7,2022
,0.0,positive,9.0,United Kingdom,Standard Triple Room,Family,7,2022
,0.0,positive,10.0,France,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,United Kingdom,Suite with Balcony,Family,7,2022
,0.0,positive,9.0,Bulgaria,Double Room with Balcony,Couple,7,2022
close beach perfect pre post airport stay,1.0,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
mattress hard book room promot bookingcom didnt appli pay euro check new date book similar number big fraud,-0.03882575757575758,positive,9.0,Bulgaria,Budget Twin Room,Couple,6,2022
,0.0,positive,10.0,Sweden,Double Room with Balcony,Solo traveler,7,2022
,0.0,positive,10.0,Finland,Two-Bedroom Suite,Family,7,2022
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Couple,7,2022
,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,6,2022
none,0.0,positive,9.0,"Abkhazia, ​Georgia",Two-Bedroom Suite,Family,6,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Family,6,2022
,0.0,positive,10.0,Finland,Double Room,Couple,6,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,6,2022
,0.0,positive,8.0,Canada,Double Room with Balcony,Solo traveler,6,2022
,0.0,positive,9.0,United Kingdom,Double Room,Couple,6,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
hair floor previou visitor better cleaner,0.5,positive,8.0,Israel,Budget Twin Room,Solo traveler,6,2022
bit noisi could everyth,0.0,positive,8.0,Bulgaria,Double Room with Balcony,Couple,6,2022
,0.0,positive,10.0,Russia,Family Suite with Balcony,Family,6,2022
like everythingz close airport town half hour walk town,-0.16666666666666666,positive,10.0,United Kingdom,Double Room,Couple,6,2022
noth didnt like,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,5,2022
bathroom smell bad,-0.6999999999999998,positive,8.0,Romania,Double Room with Balcony,Family,6,2022
,0.0,positive,9.0,United Kingdom,Double Room,Solo traveler,5,2022
,0.0,positive,9.0,United Kingdom,Double Room,Couple,5,2022
,0.0,positive,9.0,China,Double Room with Balcony,Couple,6,2022
everyth,0.0,positive,10.0,Cyprus,Double Room with Balcony,Family,6,2022
noth good,0.7,positive,10.0,Greece,Double Room with Balcony,Solo traveler,5,2022
noth sometim bit noisi air traffic,0.0,positive,10.0,Germany,Double Room with Balcony,Group,6,2022
tv light choic news channel english,0.2,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,6,2022
could turn mini fridg cool water bottl overnight readi follow day late go ask didnt probabl someth show guest initi,0.024999999999999994,positive,9.0,United Kingdom,Double Room with Balcony,Couple,5,2022
,0.0,positive,9.0,Israel,Double Room,Couple,6,2022
,0.0,positive,10.0,France,Double Room with Balcony,Group,6,2022
complaint hotel park area alway possibl necessarili conveni,-0.3,positive,9.0,Cyprus,Double Room with Balcony,Couple,6,2022
noth,0.0,positive,10.0,United Kingdom,Double Room,Couple,6,2022
except excel staffown ok restaur much extra hotel room tip improv outoford pool tabl hidden away backyard brought back life backyard could actual use much better small fridg room warm turn upon arriv complet empti local shopkiosk nearbi fill one small bottl water upon arriv doubl room feel littl poor would gladli paid € per day bottl initi refil daili room servic coupl cent even tea small welcom tray bathroom floor get complet wet care shower half glass wall cover shower bed frame sharphard corner easi get hurt appli babi safeti corner veranda door main door doesnt close entir tight main door slam night windi howev fixabl macgyv way use bed cover tea spoon although profession seal attach door frame would probabl better fix longterm beach towel servic would also nice use avoid use lot spaceweight baggag hotel great still room improv mani littl detail could easili fix still get high rate staff simpli best made stay true pleasur thu comment scare anyon book hotel highli recommend would definit love return,0.1700595238095238,positive,9.0,Sweden,Double Room with Balcony,Couple,5,2022
,0.0,positive,10.0,United Kingdom,Suite with Balcony,Family,6,2022
hospit locat quiet,0.0,positive,10.0,Switzerland,Standard Triple Room,Family,6,2022
,0.0,positive,9.0,Lithuania,Suite with Balcony,Family,6,2022
good noth bad say,5.551115123125783e-17,positive,9.0,United Kingdom,Double Room with Balcony,Couple,5,2022
,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,5,2022
noth great price purpos late night flight arriv,0.25,positive,10.0,Iceland,Two-Bedroom Suite,Family,5,2022
like everyth littl far local shop everyth need cafe,0.05,positive,9.0,United Kingdom,Suite with Balcony,Family,5,2022
noth good,0.7,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
,0.0,positive,10.0,Jordan,Double Room with Balcony,Solo traveler,5,2022
noth,0.0,positive,10.0,Australia,Double Room,Solo traveler,5,2022
,0.0,positive,10.0,United Kingdom,Double Room,Group,5,2022
stingi smell bathroom quit small room,-0.25,positive,8.0,Finland,Double Room,Couple,5,2022
safeti strip step floor come stair unawar could possibl trip,0.0,positive,8.0,United Kingdom,Double Room,Solo traveler,5,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,5,2022
price random unlabel shampoo dispens attach shower wall dont know bodi hair shampoo wasnt nice seem littl cheap consid hotel cost,0.16666666666666666,positive,9.0,Belgium,Double Room,Solo traveler,5,2022
noth,0.0,positive,8.0,Cyprus,Double Room with Balcony,Group,5,2022
good,0.7,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
noth,0.0,positive,8.0,Lebanon,Double Room with Balcony,Couple,5,2022
noth think,0.0,positive,10.0,Romania,Double Room with Balcony,Couple,5,2022
locat bit hard find taxi driver gp troubl find eventu it’ amongst sever apart build small side street,-0.27083333333333337,positive,9.0,United States of America,Double Room with Balcony,Family,5,2022
good locat,0.7,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
lack decent tv channel even past pm actual find someth watch channel half greek half russian mayb one two english even,-0.05208333333333333,positive,10.0,Czech Republic,Double Room with Balcony,Solo traveler,5,2022
,0.0,positive,9.0,Cyprus,Budget Twin Room,Couple,5,2022
,0.0,positive,10.0,United States of America,Double Room with Balcony,Group,5,2022
,0.0,positive,10.0,Slovenia,Double Room,Couple,5,2022
,0.0,positive,8.0,Cyprus,Double Room with Balcony,Couple,5,2022
noth,0.0,positive,9.0,Cyprus,Double Room,Solo traveler,5,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
,0.0,positive,10.0,Germany,Double Room with Balcony,Couple,5,2022
noth,0.0,positive,9.0,United Kingdom,Double Room,Couple,5,2022
,0.0,positive,9.0,United Kingdom,Double Room,Couple,4,2022
wasnt like,0.0,positive,10.0,Hungary,Double Room,Couple,4,2022
thing bathroom floor got wet shower becam slipperi need two foot towel rather one,-0.1,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
,0.0,positive,9.0,Hungary,Suite with Balcony,Family,4,2022
,0.0,positive,10.0,Germany,Family Suite with Balcony,Group,4,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
,0.0,positive,10.0,Czech Republic,Family Suite with Balcony,Family,4,2022
,0.0,positive,8.0,Cyprus,Standard Triple Room,Family,4,2022
,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Couple,4,2022
,0.0,positive,9.0,Israel,Double Room,Couple,4,2022
,0.0,positive,8.0,United Kingdom,Family Suite with Balcony,Family,3,2022
noth realli,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
noth,0.0,positive,10.0,United Kingdom,Standard Triple Room,Family,4,2022
,0.0,positive,9.0,Ukraine,Double Room,Family,2,2022
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
noth great,0.8,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
,0.0,positive,10.0,France,Double Room,Solo traveler,4,2022
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
lock window didn’t seem secur,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,3,2022
want shower shampoo bodi soap hair condition staff explain dispanc shower hold realli,0.0,positive,9.0,Israel,Double Room,Solo traveler,3,2022
,0.0,positive,9.0,Austria,Double Room,Couple,3,2022
,0.0,positive,8.0,United States of America,Double Room with Balcony,Couple,3,2022
immedi locat wasn’t inspir love restaur close sea front handi limassol airport,0.5,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,2,2022
,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,2,2022
,0.0,positive,9.0,Poland,Double Room,Couple,2,2022
good,0.7,positive,10.0,United Kingdom,Double Room,Solo traveler,2,2022
view room,0.0,positive,8.0,France,Family Suite with Balcony,Family,2,2022
take long hot water reach tapshow room,0.1,positive,8.0,Bulgaria,Double Room,Solo traveler,2,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Group,2,2022
smell bathroomwat,0.0,positive,8.0,Cyprus,Double Room with Balcony,Couple,1,2022
,0.0,positive,8.0,Poland,Double Room with Balcony,Group,12,2021
room maintain well nois insul typic area,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2021
,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2021
,0.0,positive,10.0,Ukraine,Standard Triple Room,Family,12,2021
smart televis work,0.21428571428571427,positive,8.0,Cyprus,Double Room with Balcony,Couple,12,2021
good,0.7,positive,10.0,Ireland,Double Room,Solo traveler,12,2021
ok,0.5,positive,8.0,Netherlands,Double Room,Couple,11,2021
thing,0.0,positive,10.0,Russia,Double Room with Balcony,Solo traveler,12,2021
tv channel fix,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,12,2021
,0.0,positive,10.0,United Kingdom,Double Room,Couple,12,2021
,0.0,positive,10.0,United Kingdom,Double Room,Couple,11,2021
,0.0,positive,10.0,Lebanon,Double Room,Solo traveler,11,2021
cold swim,-0.6,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,11,2021
,0.0,positive,10.0,Lebanon,Double Room,Couple,11,2021
,0.0,positive,9.0,United Kingdom,Two-Bedroom Suite,Family,11,2021
,0.0,positive,10.0,Switzerland,Double Room with Balcony,Couple,11,2021
weather bit cold,-0.6,positive,10.0,Lebanon,Double Room,Solo traveler,11,2021
,0.0,positive,10.0,Canada,Double Room,Couple,10,2021
good place excel stuff come back,0.35,positive,10.0,Israel,Two-Bedroom Suite,Family,11,2021
,0.0,positive,9.0,Czech Republic,Double Room with Balcony,Couple,10,2021
noth soo nice cosi made feel welcom first moment arriv,0.425,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2021
,0.0,positive,9.0,Czech Republic,Double Room with Balcony,Solo traveler,10,2021
good,0.7,positive,10.0,Russia,Family Suite with Balcony,Family,10,2021
noth,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,10,2021
pool tini bathroom smell like bad plumb,-0.6999999999999998,positive,9.0,Spain,Double Room,Family,10,2021
,0.0,positive,10.0,Belgium,Double Room with Balcony,Couple,10,2021
noth mayb could leav water,0.0,positive,10.0,Netherlands,Double Room with Balcony,Family,10,2021
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,10,2021
reason complain everyth great,0.8,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2021
noth,0.0,positive,9.0,Spain,Double Room with Balcony,Couple,10,2021
refurbish total complet safeti box wasn’t work room famili suit peopl could one doubl hook bathroom towel,0.0,positive,9.0,Denmark,Family Suite with Balcony,Family,10,2021
,0.0,positive,9.0,Denmark,Double Room with Balcony,Solo traveler,10,2021
